"GEOID","NAME","median_hh_income","gini","prop_owner_occ","prop_renter_occ","unemploymentrate","singlerate","rent_pct_incomeE","snap_pct","majority_race","xsite","evict_pct","nonwhite_pct","white_pct","black_pct","hisp_pct","asian_pct","other_pct"
75028,"ZCTA5 75028",127931,0.3587,0.82726601893986,0.17273398106014,0.0376612722798121,0.115684364344861,25.7,1.98007625138359,"WHITE","FORTWORTH",0.0142399430402278,27.5186176888963,72.4813823111037,4.5581959668647,10.6936658020249,9.06409505480713,3.20266086519957
75039,"ZCTA5 75039",92224,0.3909,0.162007874015748,0.837992125984252,0.0413788191724236,0.065043065043065,20.9,2.27362204724409,"NO MAJORITY","DALLAS",0.0135071646699554,71.7475631589417,28.2524368410583,20.698229560374,11.4233141038393,37.4776208474239,2.14839864730456
75041,"ZCTA5 75041",50395,0.4555,0.605283182954669,0.394716817045331,0.0470596088378613,0.239844119036372,35.8,15.6538754212414,"HISPANIC","DALLAS",0.033874965574222,75.0841968911917,24.9158031088083,7.13730569948186,63.8665803108808,2.25388601036269,1.82642487046632
75043,"ZCTA5 75043",63331,0.3933,0.590620257966616,0.409379742033384,0.056462789996987,0.241590861011212,30.8,11.5563353566009,"NO MAJORITY","DALLAS",0.0547897602224024,65.633136850849,34.366863149151,23.913356016677,31.0905576588233,7.49349051932078,3.13573265602786
75056,"ZCTA5 75056",89252,0.4202,0.630252473709899,0.369747526290101,0.023312091635073,0.197592852396072,25.7,3.3589208856547,"WHITE","FORTWORTH",0.0558022320892836,45.838425207253,54.161574792747,8.24223007563497,21.027512633352,13.4623641708227,3.10631832744327
75082,"ZCTA5 75082",118929,0.3916,0.748394768133175,0.251605231866825,0.0386633739774657,0.135506355063551,28.1,2.53269916765755,"WHITE","DALLAS",0.00992438563327032,42.592513733339,57.407486266661,7.50755865945578,6.76659711280501,25.4907805646638,2.82757739641443
75116,"ZCTA5 75116",45827,0.3953,0.562366899908731,0.437633100091269,0.095659779162567,0.399920095884938,37.6,13.5381807118953,"NO MAJORITY","DALLAS",0.0590893291623219,77.0825992852469,22.9174007147531,25.9928524689183,48.5830774651432,1.28353551114914,1.22313384003624
77092,"ZCTA5 77092",39536,0.4941,0.356385265873585,0.643614734126415,0.0676699076562271,0.250743637765782,35.3,14.4546366633223,"HISPANIC","HOUSTON",0.0305088520209331,79.333298663477,20.666701336523,11.0302147797597,65.442820739508,1.49513755265484,1.36512559155442
77095,"ZCTA5 77095",92225,0.3888,0.749274280500954,0.250725719499046,0.049926691874373,0.160975609756098,28,6.41536037156838,"NO MAJORITY","HOUSTON",0.0635130664902415,54.873252984779,45.126747015221,14.2194307701013,25.2475527641034,12.8133310699938,2.59293838058055
77477,"ZCTA5 77477",59910,0.391,0.468300603061698,0.531699396938302,0.0577956338641754,0.300356379187455,29.5,12.4014226070821,"NO MAJORITY","HOUSTON",0.00232659589937473,80.3600334914876,19.6399665085124,27.8258442645827,26.469439017583,23.3993859893944,2.66536421992744
