"xsite","zip","eviction_count","evict_pct","fully_vaccinated","vax_pct","pop_2019","white_2019","black_2019","hisp_2019","asian_2019","other_2019","renter_hh_2019","nonwhite_pct","white_pct","black_pct","hisp_pct","asian_pct","other_pct","majority_race","over_15_pop"
"PHOENIX","85029",1568,0.184862060834709,15724,0.412238156411399,47080,24605,3019,15400,1389,2667,8482,47.7378929481733,52.2621070518267,6.4124893797791,32.7102803738318,2.95029736618522,5.66482582837723,"WHITE",38143
"INDIANAPOLIS","46201",1396,0.184096004219966,9332,0.390084855578314,30962,17049,8009,4247,183,1474,7583,44.9357276661714,55.0642723338286,25.8671920418578,13.716814159292,0.591047089981267,4.76067437504037,"WHITE",23923
"INDIANAPOLIS","46229",765,0.181193747039318,8860,0.386950255491986,28768,12446,13429,2000,272,621,4222,56.7366518353726,43.2633481646274,46.6803392658509,6.95216907675195,0.945494994438265,2.15864849833148,"NO MAJORITY",22897
"DALLAS","75088",219,0.166920731707317,10758,0.504170962601931,26039,15753,3089,5027,1173,997,1312,39.5022850339875,60.4977149660125,11.8629747686163,19.3056568992665,4.50478128960406,3.82887207650063,"WHITE",21338
"PHOENIX","85202",1461,0.166154895939952,15989,0.488541921290638,40364,21453,1991,12269,1213,3438,8793,46.8511544941037,53.1488455058963,4.93261321970072,30.3958973342582,3.00515310672877,8.51749083341591,"WHITE",32728
"INDIANAPOLIS","46260",1206,0.164193328795099,14890,0.558850022519141,34445,16296,10895,4433,1228,1593,7345,52.6897953258818,47.3102046741182,31.6301349978226,12.8697924227029,3.56510378864857,4.62476411670779,"NO MAJORITY",26644
"INDIANAPOLIS","46218",1231,0.163024764931797,7358,0.31494243033857,28918,5014,20972,2349,85,498,7551,82.6613182101113,17.3386817898887,72.5223044470572,8.1229683933882,0.293934573621966,1.72211079604399,"BLACK",23363
"PHOENIX","85210",1409,0.162720868460561,13718,0.438204759623063,41073,15349,2882,19245,616,2981,8659,62.6299515496798,37.3700484503202,7.01677501034743,46.8555985684026,1.49976870450174,7.25780926642807,"NO MAJORITY",31305
"PHOENIX","85051",1193,0.162423417290674,14601,0.415710503089144,45313,17123,3576,20874,1848,1892,7345,62.211727318871,37.788272681129,7.89177498731048,46.0662503034449,4.0782998256571,4.17540220245846,"NO MAJORITY",35123
"PHOENIX","85021",1653,0.16175751051962,18362,0.544430278411955,43378,18215,4347,15672,1872,3272,10219,58.0086679883812,41.9913320116188,10.0212089077413,36.1289132740099,4.31555166213288,7.54299414449721,"NO MAJORITY",33727
"INDIANAPOLIS","46221",560,0.157391793142215,7415,0.35662754905733,26714,21065,2336,2312,152,849,3558,21.1462154675451,78.8537845324549,8.74447855057273,8.6546380175189,0.568990042674253,3.17810885677922,"WHITE",20792
"PHOENIX","85022",1627,0.156743737957611,22552,0.514791818845873,51920,33269,2202,12122,2138,2189,10380,35.9225731895223,64.0774268104777,4.24114021571649,23.3474576271186,4.11787365177196,4.21610169491525,"WHITE",43808
"INDIANAPOLIS","46259",18,0.156521739130435,6214,0.728402297503223,10999,10016,100,158,347,378,115,8.93717610691881,91.0628238930812,0.909173561232839,1.43649422674789,3.15483225747795,3.43667606146013,"WHITE",8531
"PHOENIX","85015",1494,0.153751157764742,13965,0.447739660147483,41895,12649,5872,18682,2051,2641,9717,69.8078529657477,30.1921470342523,14.015992361857,44.5924334646139,4.89557226399332,6.30385487528345,"NO MAJORITY",31190
"INDIANAPOLIS","46239",238,0.153449387491941,12024,0.516450476763165,30651,22330,3938,2383,966,1034,1551,27.1475645166552,72.8524354833448,12.8478679325307,7.77462399269192,3.15161006166194,3.37346252977064,"WHITE",23282
"INDIANAPOLIS","46254",1344,0.15114709851552,12659,0.409689633968737,40276,9075,22181,6283,1101,1636,8892,77.4679710000993,22.5320289999007,55.0724997517132,15.5998609593803,2.73363789850035,4.06197239050551,"BLACK",30899
"INDIANAPOLIS","46226",1413,0.147325617766656,12336,0.354554076969505,45652,12667,24113,6409,218,2245,9591,72.2531323928853,27.7468676071147,52.8191535967756,14.0388153859634,0.477525628669062,4.91763778147726,"BLACK",34793
