"state","year","union_hh_no","union_hh_yes"
"Arkansas",2016,0.300723287103666,0.341826759601801
"California",2016,0.612027908573946,0.617789673725882
"Colorado",2016,0.469569177784134,0.471410620759779
"Connecticut",2016,0.563518967159005,0.533810961680959
"Delaware",2016,0.587762936806416,0.475727675685114
"District of Columbia",2016,0.899333392117695,0.864018187910454
"Florida",2016,0.47202869033634,0.490404440697596
"Georgia",2016,0.448813090978305,0.479128697669597
"Hawaii",2016,0.61500234561503,0.611344195398649
"Idaho",2016,0.239640574458168,0.285826728774443
"Illinois",2016,0.557087983583373,0.548258290634538
"Indiana",2016,0.345300982211316,0.384668807566718
"Iowa",2016,0.350721553982981,0.464969655594491
"Kansas",2016,0.329664971209083,0.431208310445573
"Kentucky",2016,0.312423839817717,0.323952646574052
"Louisiana",2016,0.405763067828626,0.406309227640929
"Maine",2016,0.471133013587555,0.465792707483294
"Maryland",2016,0.615574708850323,0.603518805200916
"Massachusetts",2016,0.603768052078015,0.588601826913847
"Michigan",2016,0.446855983356022,0.48335947675895
"Minnesota",2016,0.430303737215356,0.479912321995031
"Mississippi",2016,0.387480801299058,0.4553671391926
"Missouri",2016,0.366953297636252,0.40670306444835
"Montana",2016,0.276840875244262,0.419249077960987
"Nebraska",2016,0.3304105159924,0.342387855378804
"Nevada",2016,0.470323515067565,0.464101033050781
"New Hampshire",2016,0.478407598288483,0.447851536547843
"New Jersey",2016,0.565296084628277,0.546991585786719
"New Mexico",2016,0.459462618117923,0.48815166716557
"New York",2016,0.604398334138953,0.574369907302183
"North Carolina",2016,0.458254278405048,0.470050571310269
"North Dakota",2016,0.254905049601516,0.306120792398989
"Ohio",2016,0.425115850641957,0.439147390017935
"Oklahoma",2016,0.266183622593548,0.332639579550384
"Oregon",2016,0.499389861465974,0.48568335927221
"Pennsylvania",2016,0.464670934749932,0.474075527889334
"Rhode Island",2016,0.604636987699301,0.551887566486241
"South Carolina",2016,0.426329689254464,0.3503681193814
"South Dakota",2016,0.300702592843151,0.257633931881915
"Tennessee",2016,0.335827270300206,0.383707399088827
"Texas",2016,0.446394851502183,0.441620023271782
"Utah",2016,0.26086204908542,0.338138260364347
"Vermont",2016,0.541726693529852,0.555368843685743
"Virginia",2016,0.49171156989903,0.502081723609956
"Washington",2016,0.508226386625762,0.519040743163666
"West Virginia",2016,0.262494711813958,0.286337959793122
"Wisconsin",2016,0.426928956611332,0.471308167103802
"Wyoming",2016,0.220921700911264,0.247361271683167
"Alabama",2020,0.327104813998083,0.314947010747867
"Alaska",2020,0.38317367422478,0.318665434430334
"Arizona",2020,0.400999906337528,0.374222751389645
"Arkansas",2020,0.259995608342659,0.314940427927592
"California",2020,0.49052227151389,0.569263853173462
"Colorado",2020,0.453055331574151,0.496159610488988
"Connecticut",2020,0.525796667154049,0.519023262800644
"Delaware",2020,0.503071509474413,0.48845950115942
"District of Columbia",2020,0.861145272119298,0.891761995225006
"Florida",2020,0.402495126649838,0.445175053695283
"Georgia",2020,0.401469642056439,0.428937400016482
"Hawaii",2020,0.429774209574704,0.521743395240307
"Idaho",2020,0.28922530690459,0.234124727203666
"Illinois",2020,0.446133287640294,0.533894457939718
"Indiana",2020,0.28283077441912,0.424211562681091
"Iowa",2020,0.343752259003085,0.45487474202207
"Kansas",2020,0.335087222167749,0.385171787136784
"Kentucky",2020,0.261889419423709,0.326161786816538
"Louisiana",2020,0.324975634749469,0.423897157317536
"Maine",2020,0.450150236389668,0.434759928940164
"Maryland",2020,0.568188428097499,0.632093653879818
"Massachusetts",2020,0.540904931248017,0.665510774587661
"Michigan",2020,0.39094534375067,0.492605510854029
"Minnesota",2020,0.379737838048045,0.521961213805113
"Mississippi",2020,0.350383846123636,0.510014356667452
"Missouri",2020,0.306793774295098,0.40847811353706
"Montana",2020,0.259194608674547,0.454756189634381
"Nebraska",2020,0.349709950791211,0.357763031906953
"Nevada",2020,0.418943087712522,0.437233358772368
"New Hampshire",2020,0.44825284073947,0.579672666902566
"New Jersey",2020,0.471433648568213,0.543397730867826
"New Mexico",2020,0.390631884738178,0.530431388350814
"New York",2020,0.477751166224922,0.562193484147135
"North Carolina",2020,0.401275077071035,0.470193961766804
"North Dakota",2020,0.239320986860135,0.409183678840111
"Ohio",2020,0.342367970978884,0.426149898435545
"Oklahoma",2020,0.235013306977221,0.376920751346412
"Oregon",2020,0.469182344469204,0.5224943276008
"Pennsylvania",2020,0.387335026265019,0.449075738853587
"Rhode Island",2020,0.494487372872988,0.558495623851606
"South Carolina",2020,0.364477358033431,0.369150231461072
"South Dakota",2020,0.33135669735278,0.238503638634594
"Tennessee",2020,0.273137266653138,0.400621308374235
"Texas",2020,0.35739522779951,0.43553760481728
"Utah",2020,0.31799134292105,0.439034317585288
"Vermont",2020,0.453980640099261,0.662010028202422
"Virginia",2020,0.45862396569595,0.483298290940548
"Washington",2020,0.447555891206065,0.504689229391834
"West Virginia",2020,0.233433855556588,0.274582029382925
"Wisconsin",2020,0.379667941217684,0.452560509052885
"Wyoming",2020,0.312370879075784,0.133712232811959
